review_id,sample_id,scenario_id,raw_event_reference,"raw_observed_attacker_ip (network fact, NOT CYUKTI output)",labeling_method,evidence_reference,"attacker_identity (fill in: confirm the IP, correct it, or write UNKNOWN/UNDETERMINED)",confidence (fill in: HIGH|MEDIUM|LOW),evidence_reference_for_decision,reviewer
REV-ATTR-0011,ATTR-SCN-SESSION-BOUNDARY-002-CAMP_C6E494CF,SCN-SESSION-BOUNDARY-002,CAMP_C6E494CF,192.168.56.106,"the campaign's real, directly-observed attacker_ip (a raw network fact, not an inference) used as the known identity -- compared at eval time against whether threat_attribution_engine's top-ranked similar-campaign candidate for this campaign shares the SAME real attacker_ip","real Campaign CAMP_C6E494CF; scenario evidence: ['journal_ready_data.md Section 10.6 (CAMP_D8605E81, attacker 192.168.56.106 -> victim pes1ug23cs411-VirtualBox, risk 630)']",,,,
REV-ATTR-0012,ATTR-SCN-SESSION-BOUNDARY-002-CAMP_75FBEEBC,SCN-SESSION-BOUNDARY-002,CAMP_75FBEEBC,192.168.56.106,"the campaign's real, directly-observed attacker_ip (a raw network fact, not an inference) used as the known identity -- compared at eval time against whether threat_attribution_engine's top-ranked similar-campaign candidate for this campaign shares the SAME real attacker_ip","real Campaign CAMP_75FBEEBC; scenario evidence: ['journal_ready_data.md Section 10.6 (CAMP_D8605E81, attacker 192.168.56.106 -> victim pes1ug23cs411-VirtualBox, risk 630)']",,,,
REV-ATTR-0013,ATTR-SCN-SESSION-BOUNDARY-002-CAMP_DDBFC6D9,SCN-SESSION-BOUNDARY-002,CAMP_DDBFC6D9,192.168.56.106,"the campaign's real, directly-observed attacker_ip (a raw network fact, not an inference) used as the known identity -- compared at eval time against whether threat_attribution_engine's top-ranked similar-campaign candidate for this campaign shares the SAME real attacker_ip","real Campaign CAMP_DDBFC6D9; scenario evidence: ['journal_ready_data.md Section 10.6 (CAMP_D8605E81, attacker 192.168.56.106 -> victim pes1ug23cs411-VirtualBox, risk 630)']",,,,
REV-ATTR-0014,ATTR-SCN-SESSION-BOUNDARY-002-CAMP_10407C1A,SCN-SESSION-BOUNDARY-002,CAMP_10407C1A,192.168.56.106,"the campaign's real, directly-observed attacker_ip (a raw network fact, not an inference) used as the known identity -- compared at eval time against whether threat_attribution_engine's top-ranked similar-campaign candidate for this campaign shares the SAME real attacker_ip","real Campaign CAMP_10407C1A; scenario evidence: ['journal_ready_data.md Section 10.6 (CAMP_D8605E81, attacker 192.168.56.106 -> victim pes1ug23cs411-VirtualBox, risk 630)']",,,,
REV-ATTR-0015,ATTR-SCN-SESSION-BOUNDARY-002-CAMP_D8605E81,SCN-SESSION-BOUNDARY-002,CAMP_D8605E81,192.168.56.106,"the campaign's real, directly-observed attacker_ip (a raw network fact, not an inference) used as the known identity -- compared at eval time against whether threat_attribution_engine's top-ranked similar-campaign candidate for this campaign shares the SAME real attacker_ip","real Campaign CAMP_D8605E81; scenario evidence: ['journal_ready_data.md Section 10.6 (CAMP_D8605E81, attacker 192.168.56.106 -> victim pes1ug23cs411-VirtualBox, risk 630)']",,,,
REV-ATTR-0016,ATTR-SCN-SESSION-BOUNDARY-002-CAMP_DAE35509,SCN-SESSION-BOUNDARY-002,CAMP_DAE35509,192.168.56.106,"the campaign's real, directly-observed attacker_ip (a raw network fact, not an inference) used as the known identity -- compared at eval time against whether threat_attribution_engine's top-ranked similar-campaign candidate for this campaign shares the SAME real attacker_ip","real Campaign CAMP_DAE35509; scenario evidence: ['journal_ready_data.md Section 10.6 (CAMP_D8605E81, attacker 192.168.56.106 -> victim pes1ug23cs411-VirtualBox, risk 630)']",,,,
REV-ATTR-0017,ATTR-SCN-SESSION-BOUNDARY-002-CAMP_E449E81D,SCN-SESSION-BOUNDARY-002,CAMP_E449E81D,192.168.56.106,"the campaign's real, directly-observed attacker_ip (a raw network fact, not an inference) used as the known identity -- compared at eval time against whether threat_attribution_engine's top-ranked similar-campaign candidate for this campaign shares the SAME real attacker_ip","real Campaign CAMP_E449E81D; scenario evidence: ['journal_ready_data.md Section 10.6 (CAMP_D8605E81, attacker 192.168.56.106 -> victim pes1ug23cs411-VirtualBox, risk 630)']",,,,
REV-ATTR-0018,ATTR-SCN-SESSION-BOUNDARY-002-CAMP_6371D7E5,SCN-SESSION-BOUNDARY-002,CAMP_6371D7E5,192.168.56.106,"the campaign's real, directly-observed attacker_ip (a raw network fact, not an inference) used as the known identity -- compared at eval time against whether threat_attribution_engine's top-ranked similar-campaign candidate for this campaign shares the SAME real attacker_ip","real Campaign CAMP_6371D7E5; scenario evidence: ['journal_ready_data.md Section 10.6 (CAMP_D8605E81, attacker 192.168.56.106 -> victim pes1ug23cs411-VirtualBox, risk 630)']",,,,
REV-ATTR-0019,ATTR-SCN-SESSION-BOUNDARY-002-CAMP_436330B7,SCN-SESSION-BOUNDARY-002,CAMP_436330B7,192.168.56.106,"the campaign's real, directly-observed attacker_ip (a raw network fact, not an inference) used as the known identity -- compared at eval time against whether threat_attribution_engine's top-ranked similar-campaign candidate for this campaign shares the SAME real attacker_ip","real Campaign CAMP_436330B7; scenario evidence: ['journal_ready_data.md Section 10.6 (CAMP_D8605E81, attacker 192.168.56.106 -> victim pes1ug23cs411-VirtualBox, risk 630)']",,,,
REV-ATTR-0020,ATTR-SCN-SESSION-BOUNDARY-002-CAMP_F51E9C79,SCN-SESSION-BOUNDARY-002,CAMP_F51E9C79,192.168.56.106,"the campaign's real, directly-observed attacker_ip (a raw network fact, not an inference) used as the known identity -- compared at eval time against whether threat_attribution_engine's top-ranked similar-campaign candidate for this campaign shares the SAME real attacker_ip","real Campaign CAMP_F51E9C79; scenario evidence: ['journal_ready_data.md Section 10.6 (CAMP_D8605E81, attacker 192.168.56.106 -> victim pes1ug23cs411-VirtualBox, risk 630)']",,,,
REV-ATTR-0021,ATTR-SCN-SESSION-BOUNDARY-002-CAMP_38EBD436,SCN-SESSION-BOUNDARY-002,CAMP_38EBD436,192.168.56.106,"the campaign's real, directly-observed attacker_ip (a raw network fact, not an inference) used as the known identity -- compared at eval time against whether threat_attribution_engine's top-ranked similar-campaign candidate for this campaign shares the SAME real attacker_ip","real Campaign CAMP_38EBD436; scenario evidence: ['journal_ready_data.md Section 10.6 (CAMP_D8605E81, attacker 192.168.56.106 -> victim pes1ug23cs411-VirtualBox, risk 630)']",,,,
REV-ATTR-0022,ATTR-SCN-SESSION-BOUNDARY-002-CAMP_71320238,SCN-SESSION-BOUNDARY-002,CAMP_71320238,192.168.56.106,"the campaign's real, directly-observed attacker_ip (a raw network fact, not an inference) used as the known identity -- compared at eval time against whether threat_attribution_engine's top-ranked similar-campaign candidate for this campaign shares the SAME real attacker_ip","real Campaign CAMP_71320238; scenario evidence: ['journal_ready_data.md Section 10.6 (CAMP_D8605E81, attacker 192.168.56.106 -> victim pes1ug23cs411-VirtualBox, risk 630)']",,,,
REV-ATTR-0023,ATTR-SCN-SESSION-BOUNDARY-002-CAMP_2845679C,SCN-SESSION-BOUNDARY-002,CAMP_2845679C,192.168.56.106,"the campaign's real, directly-observed attacker_ip (a raw network fact, not an inference) used as the known identity -- compared at eval time against whether threat_attribution_engine's top-ranked similar-campaign candidate for this campaign shares the SAME real attacker_ip","real Campaign CAMP_2845679C; scenario evidence: ['journal_ready_data.md Section 10.6 (CAMP_D8605E81, attacker 192.168.56.106 -> victim pes1ug23cs411-VirtualBox, risk 630)']",,,,
REV-ATTR-0024,ATTR-SCN-SESSION-BOUNDARY-002-CAMP_835F5335,SCN-SESSION-BOUNDARY-002,CAMP_835F5335,192.168.56.106,"the campaign's real, directly-observed attacker_ip (a raw network fact, not an inference) used as the known identity -- compared at eval time against whether threat_attribution_engine's top-ranked similar-campaign candidate for this campaign shares the SAME real attacker_ip","real Campaign CAMP_835F5335; scenario evidence: ['journal_ready_data.md Section 10.6 (CAMP_D8605E81, attacker 192.168.56.106 -> victim pes1ug23cs411-VirtualBox, risk 630)']",,,,
REV-ATTR-0025,ATTR-SCN-SESSION-BOUNDARY-002-CAMP_BB680773,SCN-SESSION-BOUNDARY-002,CAMP_BB680773,192.168.56.106,"the campaign's real, directly-observed attacker_ip (a raw network fact, not an inference) used as the known identity -- compared at eval time against whether threat_attribution_engine's top-ranked similar-campaign candidate for this campaign shares the SAME real attacker_ip","real Campaign CAMP_BB680773; scenario evidence: ['journal_ready_data.md Section 10.6 (CAMP_D8605E81, attacker 192.168.56.106 -> victim pes1ug23cs411-VirtualBox, risk 630)']",,,,
REV-ATTR-0026,ATTR-SCN-SESSION-BOUNDARY-002-CAMP_F4E63855,SCN-SESSION-BOUNDARY-002,CAMP_F4E63855,192.168.56.106,"the campaign's real, directly-observed attacker_ip (a raw network fact, not an inference) used as the known identity -- compared at eval time against whether threat_attribution_engine's top-ranked similar-campaign candidate for this campaign shares the SAME real attacker_ip","real Campaign CAMP_F4E63855; scenario evidence: ['journal_ready_data.md Section 10.6 (CAMP_D8605E81, attacker 192.168.56.106 -> victim pes1ug23cs411-VirtualBox, risk 630)']",,,,
REV-ATTR-0027,ATTR-SCN-SESSION-BOUNDARY-002-CAMP_E8E9F042,SCN-SESSION-BOUNDARY-002,CAMP_E8E9F042,192.168.56.106,"the campaign's real, directly-observed attacker_ip (a raw network fact, not an inference) used as the known identity -- compared at eval time against whether threat_attribution_engine's top-ranked similar-campaign candidate for this campaign shares the SAME real attacker_ip","real Campaign CAMP_E8E9F042; scenario evidence: ['journal_ready_data.md Section 10.6 (CAMP_D8605E81, attacker 192.168.56.106 -> victim pes1ug23cs411-VirtualBox, risk 630)']",,,,
REV-ATTR-0028,ATTR-SCN-SESSION-BOUNDARY-002-CAMP_6988F109,SCN-SESSION-BOUNDARY-002,CAMP_6988F109,192.168.56.106,"the campaign's real, directly-observed attacker_ip (a raw network fact, not an inference) used as the known identity -- compared at eval time against whether threat_attribution_engine's top-ranked similar-campaign candidate for this campaign shares the SAME real attacker_ip","real Campaign CAMP_6988F109; scenario evidence: ['journal_ready_data.md Section 10.6 (CAMP_D8605E81, attacker 192.168.56.106 -> victim pes1ug23cs411-VirtualBox, risk 630)']",,,,
REV-ATTR-0029,ATTR-SCN-SESSION-BOUNDARY-002-CAMP_5A4539E8,SCN-SESSION-BOUNDARY-002,CAMP_5A4539E8,192.168.56.106,"the campaign's real, directly-observed attacker_ip (a raw network fact, not an inference) used as the known identity -- compared at eval time against whether threat_attribution_engine's top-ranked similar-campaign candidate for this campaign shares the SAME real attacker_ip","real Campaign CAMP_5A4539E8; scenario evidence: ['journal_ready_data.md Section 10.6 (CAMP_D8605E81, attacker 192.168.56.106 -> victim pes1ug23cs411-VirtualBox, risk 630)']",,,,
REV-ATTR-0030,ATTR-SCN-NMAP-001-CAMP_7331E223,SCN-NMAP-001,CAMP_7331E223,192.168.56.106,"the campaign's real, directly-observed attacker_ip (a raw network fact, not an inference) used as the known identity -- compared at eval time against whether threat_attribution_engine's top-ranked similar-campaign candidate for this campaign shares the SAME real attacker_ip","real Campaign CAMP_7331E223; scenario evidence: ['INCIDENT_VIEW.md#Real-world validation', 'MITRE_MAPPING.md', 'experiments/examples/EXP-2026-09-25-nmap-scan-01.json']",,,,
REV-ATTR-0031,ATTR-SCN-NMAP-001-CAMP_9669CA33,SCN-NMAP-001,CAMP_9669CA33,192.168.56.106,"the campaign's real, directly-observed attacker_ip (a raw network fact, not an inference) used as the known identity -- compared at eval time against whether threat_attribution_engine's top-ranked similar-campaign candidate for this campaign shares the SAME real attacker_ip","real Campaign CAMP_9669CA33; scenario evidence: ['INCIDENT_VIEW.md#Real-world validation', 'MITRE_MAPPING.md', 'experiments/examples/EXP-2026-09-25-nmap-scan-01.json']",,,,
REV-ATTR-0032,ATTR-SCN-NMAP-001-CAMP_B39F5C0A,SCN-NMAP-001,CAMP_B39F5C0A,192.168.56.106,"the campaign's real, directly-observed attacker_ip (a raw network fact, not an inference) used as the known identity -- compared at eval time against whether threat_attribution_engine's top-ranked similar-campaign candidate for this campaign shares the SAME real attacker_ip","real Campaign CAMP_B39F5C0A; scenario evidence: ['INCIDENT_VIEW.md#Real-world validation', 'MITRE_MAPPING.md', 'experiments/examples/EXP-2026-09-25-nmap-scan-01.json']",,,,
REV-ATTR-0033,ATTR-SCN-NMAP-001-CAMP_947A7084,SCN-NMAP-001,CAMP_947A7084,192.168.56.106,"the campaign's real, directly-observed attacker_ip (a raw network fact, not an inference) used as the known identity -- compared at eval time against whether threat_attribution_engine's top-ranked similar-campaign candidate for this campaign shares the SAME real attacker_ip","real Campaign CAMP_947A7084; scenario evidence: ['INCIDENT_VIEW.md#Real-world validation', 'MITRE_MAPPING.md', 'experiments/examples/EXP-2026-09-25-nmap-scan-01.json']",,,,
REV-ATTR-0034,ATTR-SCN-NMAP-001-CAMP_67FCB361,SCN-NMAP-001,CAMP_67FCB361,192.168.56.106,"the campaign's real, directly-observed attacker_ip (a raw network fact, not an inference) used as the known identity -- compared at eval time against whether threat_attribution_engine's top-ranked similar-campaign candidate for this campaign shares the SAME real attacker_ip","real Campaign CAMP_67FCB361; scenario evidence: ['INCIDENT_VIEW.md#Real-world validation', 'MITRE_MAPPING.md', 'experiments/examples/EXP-2026-09-25-nmap-scan-01.json']",,,,
REV-ATTR-0035,ATTR-SCN-NMAP-001-CAMP_427A075C,SCN-NMAP-001,CAMP_427A075C,192.168.56.106,"the campaign's real, directly-observed attacker_ip (a raw network fact, not an inference) used as the known identity -- compared at eval time against whether threat_attribution_engine's top-ranked similar-campaign candidate for this campaign shares the SAME real attacker_ip","real Campaign CAMP_427A075C; scenario evidence: ['INCIDENT_VIEW.md#Real-world validation', 'MITRE_MAPPING.md', 'experiments/examples/EXP-2026-09-25-nmap-scan-01.json']",,,,
REV-ATTR-0036,ATTR-SCN-NMAP-001-CAMP_99EE7A64,SCN-NMAP-001,CAMP_99EE7A64,192.168.56.106,"the campaign's real, directly-observed attacker_ip (a raw network fact, not an inference) used as the known identity -- compared at eval time against whether threat_attribution_engine's top-ranked similar-campaign candidate for this campaign shares the SAME real attacker_ip","real Campaign CAMP_99EE7A64; scenario evidence: ['INCIDENT_VIEW.md#Real-world validation', 'MITRE_MAPPING.md', 'experiments/examples/EXP-2026-09-25-nmap-scan-01.json']",,,,
REV-ATTR-0037,ATTR-SCN-NMAP-001-CAMP_5D691192,SCN-NMAP-001,CAMP_5D691192,192.168.56.106,"the campaign's real, directly-observed attacker_ip (a raw network fact, not an inference) used as the known identity -- compared at eval time against whether threat_attribution_engine's top-ranked similar-campaign candidate for this campaign shares the SAME real attacker_ip","real Campaign CAMP_5D691192; scenario evidence: ['INCIDENT_VIEW.md#Real-world validation', 'MITRE_MAPPING.md', 'experiments/examples/EXP-2026-09-25-nmap-scan-01.json']",,,,
REV-ATTR-0038,ATTR-SCN-NMAP-001-CAMP_0CCD0071,SCN-NMAP-001,CAMP_0CCD0071,192.168.56.106,"the campaign's real, directly-observed attacker_ip (a raw network fact, not an inference) used as the known identity -- compared at eval time against whether threat_attribution_engine's top-ranked similar-campaign candidate for this campaign shares the SAME real attacker_ip","real Campaign CAMP_0CCD0071; scenario evidence: ['INCIDENT_VIEW.md#Real-world validation', 'MITRE_MAPPING.md', 'experiments/examples/EXP-2026-09-25-nmap-scan-01.json']",,,,
REV-ATTR-0039,ATTR-SCN-NMAP-001-CAMP_77263583,SCN-NMAP-001,CAMP_77263583,192.168.56.106,"the campaign's real, directly-observed attacker_ip (a raw network fact, not an inference) used as the known identity -- compared at eval time against whether threat_attribution_engine's top-ranked similar-campaign candidate for this campaign shares the SAME real attacker_ip","real Campaign CAMP_77263583; scenario evidence: ['INCIDENT_VIEW.md#Real-world validation', 'MITRE_MAPPING.md', 'experiments/examples/EXP-2026-09-25-nmap-scan-01.json']",,,,
REV-ATTR-0040,ATTR-SCN-NMAP-001-CAMP_BB19A996,SCN-NMAP-001,CAMP_BB19A996,192.168.56.106,"the campaign's real, directly-observed attacker_ip (a raw network fact, not an inference) used as the known identity -- compared at eval time against whether threat_attribution_engine's top-ranked similar-campaign candidate for this campaign shares the SAME real attacker_ip","real Campaign CAMP_BB19A996; scenario evidence: ['INCIDENT_VIEW.md#Real-world validation', 'MITRE_MAPPING.md', 'experiments/examples/EXP-2026-09-25-nmap-scan-01.json']",,,,
REV-ATTR-0041,ATTR-SCN-NMAP-001-CAMP_8FF3B37F,SCN-NMAP-001,CAMP_8FF3B37F,192.168.56.106,"the campaign's real, directly-observed attacker_ip (a raw network fact, not an inference) used as the known identity -- compared at eval time against whether threat_attribution_engine's top-ranked similar-campaign candidate for this campaign shares the SAME real attacker_ip","real Campaign CAMP_8FF3B37F; scenario evidence: ['INCIDENT_VIEW.md#Real-world validation', 'MITRE_MAPPING.md', 'experiments/examples/EXP-2026-09-25-nmap-scan-01.json']",,,,
REV-ATTR-0042,ATTR-SCN-NMAP-001-CAMP_B3CDBFA1,SCN-NMAP-001,CAMP_B3CDBFA1,192.168.56.106,"the campaign's real, directly-observed attacker_ip (a raw network fact, not an inference) used as the known identity -- compared at eval time against whether threat_attribution_engine's top-ranked similar-campaign candidate for this campaign shares the SAME real attacker_ip","real Campaign CAMP_B3CDBFA1; scenario evidence: ['INCIDENT_VIEW.md#Real-world validation', 'MITRE_MAPPING.md', 'experiments/examples/EXP-2026-09-25-nmap-scan-01.json']",,,,
REV-ATTR-0043,ATTR-SCN-NMAP-001-CAMP_86D5837D,SCN-NMAP-001,CAMP_86D5837D,192.168.56.106,"the campaign's real, directly-observed attacker_ip (a raw network fact, not an inference) used as the known identity -- compared at eval time against whether threat_attribution_engine's top-ranked similar-campaign candidate for this campaign shares the SAME real attacker_ip","real Campaign CAMP_86D5837D; scenario evidence: ['INCIDENT_VIEW.md#Real-world validation', 'MITRE_MAPPING.md', 'experiments/examples/EXP-2026-09-25-nmap-scan-01.json']",,,,
REV-ATTR-0044,ATTR-SCN-NMAP-001-CAMP_15E98B82,SCN-NMAP-001,CAMP_15E98B82,192.168.56.106,"the campaign's real, directly-observed attacker_ip (a raw network fact, not an inference) used as the known identity -- compared at eval time against whether threat_attribution_engine's top-ranked similar-campaign candidate for this campaign shares the SAME real attacker_ip","real Campaign CAMP_15E98B82; scenario evidence: ['INCIDENT_VIEW.md#Real-world validation', 'MITRE_MAPPING.md', 'experiments/examples/EXP-2026-09-25-nmap-scan-01.json']",,,,
REV-ATTR-0045,ATTR-SCN-NMAP-001-CAMP_B177634A,SCN-NMAP-001,CAMP_B177634A,192.168.56.106,"the campaign's real, directly-observed attacker_ip (a raw network fact, not an inference) used as the known identity -- compared at eval time against whether threat_attribution_engine's top-ranked similar-campaign candidate for this campaign shares the SAME real attacker_ip","real Campaign CAMP_B177634A; scenario evidence: ['INCIDENT_VIEW.md#Real-world validation', 'MITRE_MAPPING.md', 'experiments/examples/EXP-2026-09-25-nmap-scan-01.json']",,,,
REV-ATTR-0046,ATTR-SCN-NMAP-001-CAMP_1B8E9033,SCN-NMAP-001,CAMP_1B8E9033,192.168.56.106,"the campaign's real, directly-observed attacker_ip (a raw network fact, not an inference) used as the known identity -- compared at eval time against whether threat_attribution_engine's top-ranked similar-campaign candidate for this campaign shares the SAME real attacker_ip","real Campaign CAMP_1B8E9033; scenario evidence: ['INCIDENT_VIEW.md#Real-world validation', 'MITRE_MAPPING.md', 'experiments/examples/EXP-2026-09-25-nmap-scan-01.json']",,,,
